物件番号,物件種目,所在地,価格,土地面積(㎡),㎡単価,坪単価,取引態様,取引状況,建ぺい率(%),容積率(%),用途地域,第一種低層住居,最寄駅,交通,接道状況,接道,販売会社,電話番号,土地形状,法的制限,販売条件,契約条件,最適用途,私道負担,最終更新日,周辺施設,最寄駅情報,バス停情報
100131583320,売地,東京都中野区白鷺２丁目,"7,980",128.44,62.2,205.4,専任,公開中,50%,150%,一低,○,西武新宿線　鷺ノ宮,徒歩　11分,一方,南4.1m,三井不動産リアルティ（株）三井のリハウス練馬センター 三井不動産リアルティ（株）三井のリハウス練馬センター,03-5999-3131,平坦,準防火地域,現況:更地,取引態様:媒介,住宅,なし,2023-10-01,"コンビニエンスストア(610m, 徒歩約8分)、郵便局(700m, 徒歩約9分)、白鷺せせらぎ公園(800m, 徒歩約10分)、スーパーオオゼキ上鷺宮店(1100m, 徒歩約14分)、クリエイトエス・ディー中野上鷺宮店(1200m, 徒歩約15分)、洗足池小学校(750m, 徒歩約10分)、武蔵野高等学校(850m, 徒歩約11分)","鷺ノ宮駅(870m, 徒歩11分)","400m, 徒歩約5分"
100132318795,売地,東京都中野区中野２丁目,"11,780",70.48,167.2,552.6,専任,公開中,60%,160%,一中,○,中央線　中野,徒歩　8分,一方,南4m,住友不動産販売（株）　渋谷第２営業センター 住友不動産販売（株）　渋谷第２営業センター,050-3112-9803,整形地,準防火地域、第2種高度地区、最低敷地面積60m2、高さ制限第1種高度地区・20m,建築条件付土地,契約条件なし,住宅用地,なし,2023-10-01,"まいばすけっと中野2丁目店(230m, 徒歩約3分)、ファミリーマート(270m, 徒歩約4分)、オーケー中野(440m, 徒歩約6分)、スマイル中野3丁目調剤薬局(310m, 徒歩約4分)","中野駅(640m, 徒歩約8分)","89m, 徒歩約1分"
100132318796,売地,東京都中野区中野２丁目,"11,780",73.16,161.1,532.3,専任,公開中,60%,160%,一中,○,中央線　中野,徒歩　8分,一方,南4m,住友不動産販売（株）　渋谷第２営業センター 住友不動産販売（株）　渋谷第２営業センター,050-3112-9803,南道路に接道している長方形,第一種中高層住居専用地域（準防火地域）,現況：更地,契約条件なし,閑静な住宅地,なし,不明,"ライフ中野新橋店(950m, 徒歩12分)、城西大学附属中学校(230m, 徒歩3分)、ファミリーマート中野弥生町一丁目店(400m, 徒歩5分)、セブンイレブン中野弥生町1丁目店(440m, 徒歩6分)、江古田保育園分園やよい(180m, 徒歩3分)","中野駅(640m, 徒歩8分)","-1m, 不明"
100132925739,売地,東京都中野区南台２丁目,"5,580",82.55,67.6,223.5,売主,-,60%,160%,一中,☓,京王線　幡ヶ谷,徒歩　13分,一方,西3.8m,（株）ＷＩＳＨ （株）ＷＩＳＨ,08041683896,,,,,,なし,,,,"0m, "
100131101061,売地,東京都中野区上鷺宮２丁目,"5,080",99.28,51.2,169.2,専任,申込あり,40%,80%,一低,○,西武新宿線　鷺ノ宮,徒歩　12分,一方,西3.8m,大成有楽不動産販売（株）　練馬センター 大成有楽不動産販売（株）　練馬センター,03-5912-6411,不整形,高度地区（第三種高度地区）準防火地域（都区内）,媒介,条件不明,住宅用地,なし,2023年3月28日,"小学校(450m, 徒歩約6分)、中学校(600m, 徒歩約8分)、スーパー(670m, 徒歩約9分)、公園(370m, 徒歩約5分)、コンビニ(660m, 徒歩約9分)、総合病院(910m, 徒歩約12分)、郵便局(470m, 徒歩約6分)、銀行(740m, 徒歩約10分)、図書館(1110m, 徒歩約14分)、アーケードショッピングモール(1210m, 徒歩約16分)","鷺ノ宮駅(960m, 徒歩12分)、富士見台駅(1200m, 徒歩15分)","300m, 徒歩約4分"
100132718610,売地,東京都中野区大和町４丁目,"5,400",68.5,78.9,260.7,専属,公開中,60%,150%,一低,☓,中央線　高円寺,徒歩　14分,一方,東3.4m,東急リバブル（株）　高円寺センター 東急リバブル（株）　高円寺センター,03-6859-9109,,,,,,なし,,,,"0m, "
100130653285,売地,東京都中野区本町２丁目,"9,480",77.78,121.9,403,売主,-,60%,160%,一中,☓,丸ノ内線　中野坂上,徒歩　3分,一方,西3.5m,（株）ランドスケープ （株）ランドスケープ,045-370-7180,,,,,,なし,,,,"0m, "
100132922772,売地,東京都中野区大和町３丁目,"6,299",84.15,74.9,247.5,売主,-,60%,150%,一低,☓,中央線　高円寺,徒歩　13分,-,-,（株）ザ・ハウス （株）ザ・ハウス,03-6303-0577,,,,,,なし,,,,"0m, "
100132708042,売地,東京都中野区野方３丁目,"11,500",165.17,69.7,230.2,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　8分,一方,-,（株）イナ・エステート （株）イナ・エステート,03-3997-3907,,,,,,なし,,,,"0m, "
100132119133,売地,東京都中野区江古田２丁目,"11,000",131,84,277.6,専属,申込あり,60%,150%,近商,☓,大江戸線　新江古田,徒歩　11分,一方,北西4.9m,住友不動産販売（株）　練馬営業センター 住友不動産販売（株）　練馬営業センター,050-3112-8314,,,,,,なし,,,,"0m, "
100132484256,売地,東京都中野区中央４丁目,"9,380",115.43,81.3,268.7,専任,公開中,60%,160%,一中,☓,中央線　中野,徒歩　10分,一方,北3m,住友不動産販売（株）　中野営業センター 住友不動産販売（株）　中野営業センター,050-3112-9811,,,,,,なし,,,,"0m, "
100131971150,売地,東京都中野区上高田４丁目,"25,000",282.99,88.4,292.1,専任,公開中,70%,150%,一低,☓,大江戸線　中井,徒歩　7分,角地,北3.5m,住友不動産販売（株）　阿佐ヶ谷営業センター 住友不動産販売（株）　阿佐ヶ谷営業センター,050-3112-9805,,,,,,なし,,,,"0m, "
100131695221,売地,東京都中野区野方３丁目,"11,500",165.17,69.7,230.2,一般,-,60%,150%,一低,☓,西武新宿線　野方,徒歩　8分,一方,南西5.8m,三井不動産リアルティ（株）三井のリハウス中野センター 三井不動産リアルティ（株）三井のリハウス中野センター,03-3385-3131,,,,,,なし,,,,"0m, "
100132907018,売地,東京都中野区南台４丁目,"6,500",62.33,104.3,344.8,専任,公開中,60%,200%,一中,☓,丸ノ内方南　方南町,徒歩　11分,一方,西5.7m,大和ハウス工業（株）　東京本店 大和ハウス工業（株）　東京本店,08059355609,,,,,,なし,,,,"0m, "
100132904892,売地,東京都中野区中野５丁目,"12,500",87.91,142.2,470.1,売主,-,60%,160%,一中,☓,中央線　中野,徒歩　9分,角地,北西2.8m,（株）コスモジャパン （株）コスモジャパン,03-3754-8051,,,,,,なし,,,,"0m, "
100130643078,売地,東京都中野区野方１丁目,"1,600",35.54,45.1,148.9,専属,公開中,60%,200%,一中,☓,中央線　高円寺,徒歩　15分,一方,4m,㈱ニッケンコーポレーション ㈱ニッケンコーポレーション,0488380080,,,,,,なし,,,,"0m, "
100131293175,売地,東京都中野区鷺宮３丁目,"8,480",128.93,65.8,217.5,専属,申込あり,50%,150%,一低,☓,西武新宿線　都立家政,徒歩　5分,角地,北3.6m,野村不動産ソリューションズ（株）　中野センター 野村不動産ソリューションズ（株）　中野センター,03-5318-5141,,,,,,なし,,,,"0m, "
100132691835,売地,東京都中野区南台３丁目,"11,980",204.19,58.7,194,売主,-,80%,300%,近商,☓,丸ノ内方南　方南町,徒歩　13分,二方,西4m,（株）やまもと笑店 （株）やまもと笑店,0345638578,,,,,,なし,,,,"0m, "
100132738014,売地,東京都中野区弥生町１丁目,"18,000",113.15,159.1,525.9,専任,公開中,60%,200%,一中,☓,大江戸線　西新宿五丁目,徒歩　6分,一方,南西2.7m,三井不動産リアルティ（株）三井のリハウス中野坂上センター 三井不動産リアルティ（株）三井のリハウス中野坂上センター,03-5338-8831,,,,,,なし,,,,"0m, "
100132863642,売地,東京都中野区白鷺１丁目,"5,980",134.53,44.5,147,売主,-,50%,150%,一低,☓,西武新宿線　鷺ノ宮,徒歩　13分,-,-,（株）千代田シェアルティＡ＆Ｓ （株）千代田シェアルティＡ＆Ｓ,03-3511-0155,,,,,,なし,,,,"0m, "
